1	77004	Houston	710 Shaw Station Apt. 103	1407	233
2	77098	Houston	305 Anthony Plain Suite 611	1407	233
3	77021	Houston	525 Walter Mount	1407	233
4	77201	Houston	831 Brandon Dale	1407	233
5	77081	Houston	PSC 5313, Box 8845	1407	233
6	77080	Houston	405 Mark Brooks Suite 804	1407	233
7	77017	Houston	USS Robinson	1407	233
8	77058	Houston	236 Smith Route	1407	233
9	77060	Houston	72233 Jeremy Trail	1407	233
10	77005	Houston	PSC 1065, Box 6861	1407	233
11	77021	Houston	0603 Chavez Square	1407	233
12	77018	Houston	3500 Karen Cove	1407	233
13	77040	Houston	91631 Rojas Forges	1407	233
14	77039	Houston	793 Smith Crest	1407	233
15	77040	Houston	8627 Thomas Trace Apt. 115	1407	233
16	77017	Houston	890 Hernandez Mountains	1407	233
17	77010	Houston	4736 Woods Crescent Suite 664	1407	233
18	77012	Houston	36330 Mills Fort	1407	233
19	77032	Houston	51047 Browning Club	1407	233
20	77061	Houston	4131 Nicolas View Apt. 372	1407	233
21	77022	Houston	79032 Lisa Gateway Apt. 906	1407	233
22	77077	Houston	78600 Charlotte Heights Suite 341	1407	233
23	77044	Houston	414 Hayes Common Apt. 141	1407	233
24	77031	Houston	USNV Bryant	1407	233
25	77007	Houston	PSC 9520, Box 6150	1407	233
26	77087	Houston	80079 Joshua Keys Apt. 596	1407	233
27	77047	Houston	5444 Schultz Fields Suite 441	1407	233
28	77058	Houston	55300 Lewis Neck	1407	233
29	77030	Houston	338 Watson Ridges Suite 148	1407	233
30	77091	Houston	9950 Hall Village Apt. 700	1407	233
31	77066	Houston	83538 David Garden	1407	233
32	77045	Houston	847 Kenneth Field	1407	233
33	77045	Houston	409 Gregory Springs	1407	233
34	77077	Houston	083 Cody Lake	1407	233
35	77038	Houston	PSC 8727, Box 7845	1407	233
36	77018	Houston	40277 Rodriguez Points	1407	233
37	77007	Houston	17476 Wallace Rapids Suite 405	1407	233
38	77062	Houston	0284 Vanessa Fork	1407	233
39	77057	Houston	617 Jeremy Walk	1407	233
40	77079	Houston	9511 Jennifer Vista	1407	233
41	77034	Houston	2773 Johnson Garden	1407	233
42	77077	Houston	88792 Stephanie Spurs	1407	233
43	77044	Houston	15695 Zachary Falls Apt. 216	1407	233
44	77082	Houston	064 Robert Forges	1407	233
45	77011	Houston	4910 Rodriguez Greens	1407	233
46	77028	Houston	0987 Robert Overpass	1407	233
47	77044	Houston	43706 Ramos Course	1407	233
48	77096	Houston	632 Watkins Tunnel	1407	233
49	77020	Houston	06001 Erika Road	1407	233
50	77049	Houston	92090 Brown Dam Suite 053	1407	233
51	77086	Houston	0864 Andre Plains Suite 137	1407	233
52	77091	Houston	018 Alice Cape	1407	233
53	77094	Houston	9961 Turner Light Suite 574	1407	233
54	77082	Houston	01835 Allen Run	1407	233
55	77082	Houston	27708 Brewer Burg Suite 286	1407	233
56	77051	Houston	90444 Heather Ranch	1407	233
57	77070	Houston	834 Anthony Squares Suite 693	1407	233
58	77045	Houston	611 Smith Locks	1407	233
59	77050	Houston	95627 Cindy Village Suite 914	1407	233
60	77039	Houston	854 Kathleen Villages	1407	233
61	77070	Houston	2485 Scott Mission	1407	233
62	77095	Houston	89983 Jennifer Square Suite 451	1407	233
63	77099	Houston	527 Johnston Extensions	1407	233
64	77046	Houston	PSC 1863, Box 5901	1407	233
65	77013	Houston	09751 Garcia Harbor Suite 464	1407	233
66	77005	Houston	01087 Moore Way	1407	233
67	77024	Houston	6480 Jason Brooks	1407	233
68	77049	Houston	PSC 2679, Box 5378	1407	233
69	77061	Houston	PSC 5689, Box 7059	1407	233
70	77022	Houston	392 Daniel Tunnel Apt. 405	1407	233
71	77070	Houston	4360 Ryan Ford Suite 128	1407	233
72	77019	Houston	7931 Robert Estates Apt. 227	1407	233
73	77003	Houston	USCGC Delgado	1407	233
74	77030	Houston	0524 Daniel Walk Apt. 398	1407	233
75	77092	Houston	35262 Brandi Roads Suite 643	1407	233
76	77016	Houston	004 Maxwell Lock	1407	233
77	77008	Houston	92945 Brandon Shores Apt. 699	1407	233
78	77044	Houston	725 Wilson Glen Apt. 476	1407	233
79	77081	Houston	15819 Wilcox Spring	1407	233
80	77002	Houston	7777 Johnston Loaf	1407	233
81	77050	Houston	PSC 1670, Box 2488	1407	233
82	77048	Houston	76650 Amy Causeway	1407	233
83	77010	Houston	0794 Alexander Extension	1407	233
84	77083	Houston	26937 Karen Villages Suite 392	1407	233
85	77028	Houston	446 Elizabeth View	1407	233
86	77089	Houston	PSC 1540, Box 5363	1407	233
87	77081	Houston	77999 Samuel Cliffs	1407	233
88	77012	Houston	164 Jessica Spur Apt. 803	1407	233
89	77029	Houston	39504 Williams Village Suite 912	1407	233
90	77083	Houston	PSC 1251, Box 9772	1407	233
91	77035	Houston	81043 Lindsay Lakes	1407	233
92	77095	Houston	92203 Ashley Creek Suite 994	1407	233
