1,1,599,599,265,1
2,5,8500,42500,200,1
3,3,1099,3297,260,2
4,2,22000,44000,236,2
5,5,349,1745,357,2
6,1,19000,19000,226,3
7,1,8500,8500,200,3
8,4,599,2396,310,3
9,5,3500,17500,131,4
10,1,7000,7000,183,4
11,4,599,2396,267,5
12,1,349,349,105,5
13,3,16000,48000,233,5
14,1,19000,19000,241,5
15,4,499,1996,337,5
16,3,749,2247,362,6
17,5,299,1495,100,6
18,3,349,1047,102,7
19,1,349,349,375,8
20,5,399,1995,322,9
21,1,8500,8500,190,9
22,5,11500,57500,214,10
23,1,699,699,361,10
24,4,749,2996,365,10
25,5,499,2495,320,10
26,3,399,1197,336,11
27,4,16000,64000,221,12
28,4,199,796,303,12
29,5,5500,27500,165,12
30,2,749,1498,315,12
31,3,6500,19500,176,13
32,3,6500,19500,161,14
33,4,19000,76000,240,14
34,3,1099,3297,252,14
35,2,3000,6000,128,14
36,3,799,2397,364,14
37,1,1099,1099,253,15
38,4,349,1396,344,15
39,5,3500,17500,134,15
40,5,499,2495,341,15
41,3,19000,57000,227,16
42,1,5500,5500,154,16
43,3,7000,21000,183,16
44,3,649,1947,112,17
45,4,379,1516,327,18
46,5,16000,80000,218,18
47,5,16000,80000,219,19
48,1,7500,7500,182,19
49,4,4000,16000,146,20
50,2,10000,20000,208,20
51,5,4000,20000,147,20
52,3,4000,12000,150,21
53,3,22000,66000,246,22
54,3,349,1047,104,22
55,5,6500,32500,164,23
56,2,3500,7000,139,23
57,1,699,699,360,23
58,5,3500,17500,129,23
59,2,22000,44000,243,23
60,1,399,399,339,24
61,1,349,349,115,24
62,5,239,1195,284,24
63,4,499,1996,368,24
64,2,399,798,333,25
65,1,349,349,356,25
66,5,599,2995,265,25
67,2,11500,23000,211,25
68,5,3000,15000,126,25
69,2,6500,13000,163,26
70,1,7500,7500,180,27
71,5,3000,15000,136,27
72,2,349,698,345,27
73,5,16000,80000,223,28
74,1,1099,1099,260,28
75,4,599,2396,267,29
76,4,8500,34000,197,29
77,1,100,100,297,29
78,2,22000,44000,243,30
79,1,4500,4500,153,31
80,4,699,2796,316,32
81,3,19000,57000,241,32
82,2,750,1500,302,32
83,2,379,758,327,32
84,1,399,399,323,33
85,5,10000,50000,194,33
86,2,199,398,285,33
87,3,22000,66000,246,34
88,4,749,2996,363,34
89,2,599,1198,263,34
90,5,3000,15000,128,34
91,5,7000,35000,185,34
92,2,429,858,321,35
93,5,5500,27500,160,35
94,5,3000,15000,126,35
95,5,349,1745,356,36
96,1,7000,7000,183,36
97,3,3000,9000,125,36
98,4,6500,26000,176,36
99,1,6500,6500,174,37
100,2,8500,17000,199,37
101,2,499,998,329,37
102,2,1099,2198,254,37
103,4,449,1796,247,38
104,3,179,537,292,38
105,3,7500,22500,177,38
106,2,6500,13000,164,39
107,5,249,1245,324,40
108,4,3000,12000,133,41
109,3,2500,7500,120,41
110,2,599,1198,270,41
111,1,1099,1099,258,41
112,4,6500,26000,161,42
113,2,800,1600,300,42
114,2,399,798,317,43
115,5,5500,27500,169,43
116,5,16000,80000,229,43
117,2,3500,7000,144,43
118,4,750,3000,302,44
119,5,349,1745,115,44
120,4,399,1596,332,44
121,3,1099,3297,262,44
122,5,599,2995,263,44
123,1,699,699,367,45
124,5,449,2245,107,45
125,2,150,300,295,45
126,2,10000,20000,206,45
127,4,5500,22000,168,45
128,5,379,1895,326,46
129,3,399,1197,336,46
130,1,349,349,358,47
131,3,5500,16500,155,47
132,1,10000,10000,195,47
133,1,10000,10000,188,47
134,4,399,1596,323,47
135,2,22000,44000,236,48
136,3,599,1797,264,48
137,3,6500,19500,171,48
138,5,3500,17500,149,48
139,3,379,1137,327,49
140,2,129,258,113,50
141,1,5500,5500,165,51
142,4,3000,12000,126,51
143,3,449,1347,247,51
144,2,449,898,107,52
145,3,5500,16500,155,53
146,3,6500,19500,161,53
147,2,2500,5000,119,53
148,3,449,1347,247,53
149,5,3500,17500,130,53
150,1,3500,3500,141,54
151,3,399,1197,333,54
152,1,11500,11500,212,54
153,4,19000,76000,226,54
154,1,749,749,366,55
155,4,399,1596,118,55
156,3,1099,3297,258,55
157,1,749,749,314,56
158,1,150,150,295,56
159,5,22000,110000,244,57
160,3,6500,19500,163,57
161,1,349,349,277,58
162,3,499,1497,368,58
163,1,699,699,361,58
164,4,19000,76000,234,58
165,4,599,2396,272,59
166,4,750,3000,302,59
167,3,249,747,324,59
168,3,349,1047,277,60
169,5,11500,57500,214,61
170,1,1099,1099,254,62
171,5,199,995,304,62
172,1,3500,3500,124,63
173,1,499,499,117,63
174,1,199,199,318,64
