1				3039
2				1713
3				4941
4				887
5				623
6				1501
7				3292
8				1997
9				4155
10				4101
11				3795
12				2388
13				2025
14				3846
15				3972
16				2505
17				3482
18				1126
19				4344
20				1184
21				2230
22				1957
23				2527
24				1429
25				1512
26				2925
27				4911
28				703
29				2035
30				4355
31				847
32				702
33				4739
34				2310
35				1284
36				751
37				1705
38				1586
39				3430
40				4403
41				1669
42				2863
43				908
44				1554
45				1618
46				4793
47				547
48				960
49				241
50				3703
51				766
52				2425
53				4235
54				1300
55				1504
56				2982
57				2065
58				2415
59				2383
60				4249
61				3018
62				1733
63				2446
64				2050
65				2190
66				2922
67				2438
68				40
69				4714
70				860
71				2255
72				725
73				4683
74				4085
75				4307
76				245
77				2783
78				1841
79				4734
80				1792
81				1353
82				513
83				4377
84				3185
85				2026
86				1655
87				671
88				4888
89				688
90				1808
91				2859
92				4643
93				4817
94				2809
95				2101
96				1513
97				3086
98				1691
99				2921
100				1049
101				4544
102				337
103				187
104				4239
105				1557
106				2826
107				2344
108				3412
109				4814
110				802
111				1606
112				841
113				4497
114				3611
115				4229
116				1105
117				1708
118				1776
119				1653
120				1174
121				2750
122				768
123				2219
124				4705
125				2235
126				10
127				1914
128				3414
129				517
130				1858
131				2276
132				2396
133				1190
134				3160
135				1815
136				2796
137				474
138				1454
139				2370
140				3720
141				699
142				3553
143				4464
144				1718
145				1652
146				365
147				2886
148				967
149				98
150				1489
151				3525
152				4711
153				4402
154				693
155				3369
156				395
157				1099
158				3904
159				4211
160				4946
161				1639
162				805
163				3627
164				4727
165				2513
166				3111
167				1095
168				928
169				4732
170				1413
171				1932
172				1873
173				494
174				2555
175				2117
176				2140
177				2653
178				828
179				3508
180				4560
181				3069
182				1055
183				843
184				615
185				3837
186				2596
187				1101
188				2182
189				2014
190				4663
191				1382
192				224
193				1702
194				106
195				2946
196				4227
197				4036
198				3162
199				965
200				4165
